Histórico;Solicitante;Órgáo;Despacho;Horas Voadas;Aeronave;Número DB;Base;Data;Órgáos;Origem;Destino;Nome;Cargo/Função;Órgáo
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:55:00;PT-MGS - PT-MGS;0041-2020;DTA;16/07/2020;Secretaria-Geral;JOAO PINHEIRO;GOIANÁ - MG;Fernando Junqueira Ferraz;Superintendente de Imprensa;Secretaria-Geral do Estado de Minas Gerais
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:55:00;PT-MGS - PT-MGS;0041-2020;DTA;16/07/2020;Secretaria-Geral;JOAO PINHEIRO;GOIANÁ - MG;Paulo Roberto Bermudes Rezende;Ajudante de Ordens do Governador;Gabinete Militar do Governador
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:55:00;PT-MGS - PT-MGS;0041-2020;DTA;16/07/2020;Secretaria-Geral;JOAO PINHEIRO;GOIANÁ - MG;Romeu Zema Neto;Governador do Estado de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:35:00;PT-MGS - PT-MGS;0042-2020;DTA;16/07/2020;Secretaria-Geral;GOIANA;BELO HORIZONTE;André Valadares da Cruz;Cinegrafista;Secretaria-Geral do Estado de Minas Gerais
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:35:00;PT-MGS - PT-MGS;0042-2020;DTA;16/07/2020;Secretaria-Geral;GOIANA;BELO HORIZONTE;Andreza Gischewski Costa;Assessora de Imprensa do Governo de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:35:00;PT-MGS - PT-MGS;0042-2020;DTA;16/07/2020;Secretaria-Geral;GOIANA;BELO HORIZONTE;Carlos Eduardo Amaral Pereira da Silva;Secretário de Estado;Secretaria de Estado de Saúde
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:35:00;PT-MGS - PT-MGS;0042-2020;DTA;16/07/2020;Secretaria-Geral;GOIANA;BELO HORIZONTE;Fernando Junqueira Ferraz;Superintendente de Imprensa;Secretaria-Geral do Estado de Minas Gerais
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:35:00;PT-MGS - PT-MGS;0042-2020;DTA;16/07/2020;Secretaria-Geral;GOIANA;BELO HORIZONTE;Paulo Roberto Bermudes Rezende;Ajudante de Ordens do Governador;Gabinete Militar do Governador
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:35:00;PT-MGS - PT-MGS;0042-2020;DTA;16/07/2020;Secretaria-Geral;GOIANA;BELO HORIZONTE;Romeu Zema Neto;Governador do Estado de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva.;Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador MG;PLANEJADA;03:17:00;PT-MGS - PT-MGS;0049-2020;DTA;13/08/2020;Secretaria-Geral;BELO HORIZONTE;GOVERNADOR VALADARES;André Valadares da Cruz;Cinegrafista;Secretaria-Geral do Estado de Minas Gerais
